location_id,village_name,date,latitude,longitude,elevation_m,distance_river_ramganga,distance_river_kosi,distance_river_kailash,distance_river_deoha,distance_river_sarda,distance_dam_nanakSagar,Heavy_flood,Mid_flood,Low_flood,Unnamed: 15,rain_mm,dam_release_nanak_sagar,soil_type,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,LowFlood,MidFlood,HeavyFlood
,Text,,float,float,float,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,6/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,0,0,0,,0,,,,,,,2,,,,,,,0,0,0
,Khatima,7/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,3,Kashipur,29.211757,78.961731,90,74.75,65.1,0,0,0
,Khatima,8/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,4,Pilibhit,28.71921,80.076419,35.09,47.06,56.76,0,0,0
,Khatima,9/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,5.86,,,,,,,5,Bazpur,29.161999,79.157649,70.18,55.6,46.09,0,0,0
,Khatima,10/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,6,Nainital,29.390529,79.460869,60.51,58.74,53.05,0,0,0
,Khatima,11/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,7,Haldwani,29.214481,79.527901,41.63,38.19,32.99,0,0,0
,Khatima,12/1/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,8.23,,,,,,,8,Jaspur,29.27676,78.866557,101.11,86.36,76.73,0,0,0
,Khatima,13-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,9,pantnagar,29.028405,79.483209,35.62,21.71,13.53,0,0,0
,Khatima,14-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,10,nanakmatta,28.946398,79.813434,2.84,19.14,26.86,0,0,0
,Khatima,15-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,11,dineshpur,29.049568,79.321929,51.47,35.41,25.84,0,0,0
,Khatima,16-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,17-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,18-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,19-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,8.39,,,,,,,,,,,,,,0,0,0
,Khatima,20-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,21-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,22-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,23-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,24-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,25-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,26-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,27-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,28-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,29-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,30-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,10.17,,,,,,,,,,,,,,0,0,0
,Khatima,31-01-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,1/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,2/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,3/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,4/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,5/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,6/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,7/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,8/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,9/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,10/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,11/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,12/2/2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,13-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,14-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,15-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,3.59,,,,,,,,,,,,,,0,0,0
,Khatima,16-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,17-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,18-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,19-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,20-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,6.22,,,,,,,,,,,,,,0,0,0
,Khatima,21-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,22-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,23-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,24-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,0,,,,,,,,,,,,,,0,0,0
,Khatima,25-02-2023,28.909628,79.949147,299,45720,41820,64125,15406.4,6682.5,50002.38,,,,,3.56,,,,,,,,,,,,,,0,0,0
